RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	相对重心	变差方差根	平均中位数	平均斜率	标签
0.388	0.416	0.258	0.124	0.492	0.21	0.071	0.459992449	0.031275294	0.066022727	-0.012444946	4
0.384	0.408	0.267	0.134	0.481	0.224	0.069	0.459992449	0.031275294	0.066022727	-0.012444946	4
0.396	0.42	0.267	0.14	0.474	0.225	0.079	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.401	0.425	0.273	0.14	0.474	0.225	0.08	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.398	0.423	0.273	0.138	0.478	0.225	0.072	0.459992449	0.031275294	0.066022727	-0.012444946	4
0.376	0.402	0.268	0.136	0.478	0.225	0.063	0.459992449	0.031275294	0.066022727	-0.012444946	4
0.363	0.389	0.261	0.136	0.476	0.225	0.058	0.459992449	0.031275294	0.066022727	-0.012444946	4
0.341	0.368	0.261	0.136	0.472	0.225	0.048	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.334	0.361	0.254	0.131	0.467	0.225	0.04	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.335	0.364	0.249	0.127	0.465	0.225	0.039	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.346	0.38	0.243	0.119	0.463	0.225	0.042	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.36	0.398	0.236	0.111	0.469	0.225	0.053	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.364	0.403	0.228	0.108	0.476	0.226	0.061	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.363	0.403	0.228	0.104	0.496	0.236	0.065	0.459992449	0.031275294	0.066022727	-0.012444946	4
0.359	0.399	0.224	0.106	0.503	0.236	0.058	0.459992449	0.031275294	0.066022727	-0.012444946	4
0.351	0.392	0.225	0.115	0.512	0.241	0.041	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.354	0.396	0.231	0.125	0.508	0.246	0.05	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.361	0.404	0.241	0.129	0.504	0.246	0.069	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.383	0.427	0.251	0.127	0.494	0.248	0.118	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.404	0.45	0.266	0.103	0.467	0.262	0.147	0.458922331	0.03479501	0.111555556	-0.026006192	6
0.37	0.413	0.277	0.107	0.447	0.274	0.098	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.36	0.401	0.279	0.106	0.442	0.274	0.096	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.358	0.398	0.273	0.107	0.442	0.274	0.097	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.36	0.398	0.261	0.107	0.453	0.273	0.105	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.363	0.399	0.243	0.103	0.46	0.272	0.114	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.365	0.4	0.225	0.089	0.471	0.275	0.131	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.36	0.393	0.225	0.083	0.478	0.273	0.134	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.355	0.386	0.211	0.085	0.48	0.273	0.129	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.342	0.372	0.203	0.096	0.478	0.272	0.106	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.337	0.366	0.201	0.104	0.472	0.271	0.074	0.458922331	0.03479501	0.111555556	-0.026006192	5
0.338	0.368	0.2	0.106	0.472	0.271	0.063	0.458922331	0.03479501	0.111555556	-0.026006192	5
